Feature,Importance
DPC_GE,0.0017298042
DPC_QI,0.0017279047
DPC_WS,0.0017227998
DPC_IR,0.0017206917
DPC_MF,0.001719057
DPC_DV,0.0017147901
DPC_YE,0.0017123113
DPC_LS,0.0017075788
DPC_QA,0.0017030619
DPC_VK,0.0016964354
DPC_LD,0.0016815381
DPC_GH,0.0016771081
DPC_RS,0.0016764262
DPC_GS,0.0016741799
DPC_DQ,0.0016737762
DPC_PL,0.0016708957
DPC_IL,0.0016690348
DPC_RT,0.001665166
DPC_PH,0.0016641661
Instability_Index,0.0016641144
DPC_YM,0.0016627253
DPC_SR,0.0016609617
DPC_CF,0.0016592927
DPC_YK,0.0016569914
DPC_QG,0.0016487051
DPC_VF,0.0016457753
DPC_HW,0.001630758
DPC_NY,0.0016283244
DPC_HK,0.0016263153
DPC_SD,0.0016235393
DPC_TP,0.001622059
DPC_VD,0.0016217866
PseAAC_lambda28,0.0016204455
DPC_VM,0.0016171093
DPC_PW,0.0016141395
DPC_LN,0.0016031029
DPC_TE,0.0015967708
DPC_YS,0.0015902439
DPC_IM,0.0015787777
DPC_KF,0.0015762434
DPC_PE,0.0015744787
DPC_IT,0.0015708196
DPC_NT,0.0015586675
Aromaticity,0.0015465562
DPC_QV,0.0015420092
DPC_AV,0.0015415193
DPC_YI,0.0015356138
DPC_QT,0.0015354673
DPC_VG,0.001534222
AAC_P,0.0015334701
DPC_DR,0.001531888
DPC_SP,0.0015303877
DPC_RY,0.001527928
DPC_LV,0.0015241537
PseAAC_lambda29,0.0015222382
DPC_EL,0.0015154766
PseAAC_lambda15,0.0015150325
DPC_LG,0.0015113747
DPC_PK,0.0015095603
DPC_VH,0.001508471
DPC_FC,0.0015080398
DPC_KK,0.0015077948
DPC_WA,0.0015058747
DPC_MH,0.0015052555
DPC_YV,0.0015022696
DPC_TG,0.0014968256
DPC_FQ,0.0014960056
DPC_SL,0.0014930288
DPC_GV,0.0014916846
DPC_HS,0.0014857656
DPC_KH,0.0014772246
DPC_IC,0.0014768689
DPC_KW,0.0014749413
DPC_SS,0.0014732475
DPC_KR,0.0014685384
DPC_LF,0.0014605309
DPC_WE,0.0014604199
DPC_TF,0.0014603013
DPC_AF,0.0014586125
DPC_VT,0.0014582223
PseAAC_lambda11,0.0014550332
DPC_AC,0.0014535587
DPC_QN,0.0014450152
PseAAC_lambda13,0.0014446425
DPC_FM,0.0014445616
DPC_QR,0.0014421032
DPC_VI,0.0014418919
DPC_TK,0.0014404699
PseAAC_lambda7,0.0014375146
DPC_HH,0.00142781
DPC_EW,0.0014208065
DPC_VA,0.0014157487
DPC_RF,0.0014156954
AAC_F,0.0014083023
DPC_EF,0.0014068716
DPC_RE,0.0014045845
DPC_PA,0.0014036433
DPC_WQ,0.0014033118
DPC_LH,0.0014019028
DPC_GD,0.0014013303
DPC_KL,0.0013990706
DPC_RC,0.0013988191
DPC_YL,0.0013965382
DPC_KY,0.001396335
DPC_RH,0.0013963113
DPC_NP,0.0013950707
DPC_SY,0.0013925789
DPC_AE,0.0013896939
PseAAC_lambda24,0.001388114
DPC_PY,0.0013746489
DPC_AM,0.0013723281
DPC_TV,0.0013719335
DPC_LI,0.0013704972
DPC_FT,0.0013648104
DPC_GI,0.0013619823
DPC_IY,0.0013498133
DPC_GT,0.0013495442
DPC_KA,0.0013438014
DPC_KQ,0.0013420497
DPC_AH,0.0013315933
DPC_YY,0.0013285633
DPC_EQ,0.0013263347
DPC_FV,0.0013228864
AAC_W,0.0013183762
DPC_LA,0.0013163502
PseAAC_lambda2,0.001312161
DPC_TM,0.0013082331
DPC_EI,0.001308112
DPC_WG,0.0013071571
DPC_QM,0.0013023101
DPC_LT,0.0012968194
DPC_PR,0.0012900288
AAC_H,0.0012893653
DPC_NR,0.0012859663
DPC_VN,0.0012807362
DPC_IK,0.0012746232
