,precision,recall,f1-score,support
Non-Virulent,0.8773674242424242,0.9265,0.9012645914396887,2000.0
Virulent,0.8060686015831134,0.7022988505747126,0.7506142506142506,870.0
accuracy,0.8585365853658536,0.8585365853658536,0.8585365853658536,0.8585365853658536
macro avg,0.8417180129127688,0.8143994252873563,0.8259394210269697,2870.0
weighted avg,0.8557541922864659,0.8585365853658536,0.8555970665204793,2870.0
