,precision,recall,f1-score,support
Non-Virulent,0.9238045191802418,0.879,0.9008455034588778,2000.0
Virulent,0.749741468459152,0.8333333333333334,0.789330430048993,870.0
accuracy,0.8651567944250871,0.8651567944250871,0.8651567944250871,0.8651567944250871
macro avg,0.8367729938196968,0.8561666666666667,0.8450879667539354,2870.0
weighted avg,0.8710397616445803,0.8651567944250871,0.8670412825994354,2870.0
