Feature,Importance
AAC_L,0.026043804736667557
AAC_C,0.02219344291072874
AAC_D,0.021732819846347354
AAC_A,0.02031249207869259
DPC_DA,0.01705875730917178
DPC_NA,0.01688788052758104
AAC_T,0.016662785255508603
DPC_LL,0.015392810818348753
DPC_TT,0.014553725110454767
DPC_AN,0.012973553490137561
DPC_LQ,0.010745928424946581
AAC_E,0.010627912814787676
DPC_AT,0.010611201880013604
DPC_ND,0.010383581902356973
DPC_DD,0.010118110737437633
DPC_AI,0.008690906087019007
DPC_IA,0.008593689792080417
DPC_ID,0.008512052381058927
DPC_EE,0.007982188933998933
Small_AA_Fraction,0.007914188130242786
DPC_AA,0.007319847484384323
DPC_LC,0.007198580468925738
DPC_HD,0.00684911311767692
DPC_ST,0.006812393679478122
DPC_QE,0.006747234605484952
DPC_KE,0.006707811527432843
DPC_CL,0.006372725043394306
AAC_N,0.006158174800302796
DPC_YD,0.006074303504895606
Molecular_Weight,0.006043460993316031
Length,0.005573378324345397
DPC_DN,0.005476957829269736
DPC_FA,0.005441869934246665
DPC_PT,0.005244698429729705
DPC_AD,0.00509175478435846
DPC_LE,0.00502843248466091
DPC_SA,0.00483326193409384
DPC_FD,0.004831907622303173
DPC_NG,0.004800462150001113
DPC_CP,0.004771224441635054
AAC_I,0.004532380096963305
DPC_TN,0.004249595928162411
AAC_K,0.0042489889458487435
DPC_EK,0.004223085285069491
DPC_NV,0.004081450832306677
DPC_TS,0.004012425311078142
DPC_SN,0.003925379406350654
DPC_PI,0.0038215665801071296
DPC_PN,0.003635125899428826
DPC_LK,0.0036309212329984925
DPC_AS,0.003566712946609953
DPC_SC,0.003540475381888998
DPC_SI,0.0034605403455682296
DPC_VL,0.003373434858613799
Net_Charge_pH7,0.0033265453912637954
DPC_GP,0.003312425868144158
DPC_DE,0.00324699244154752
DPC_TA,0.003221958514443039
DPC_PG,0.0032022780301248664
DPC_DI,0.0031555297224026505
DPC_TI,0.003154248349645207
DPC_GN,0.0030660883444599734
DPC_YA,0.0029859683677876726
DPC_MS,0.002984032418574076
DPC_DG,0.00292201624105066
DPC_CE,0.0028864668321063884
DPC_PC,0.002862383404915964
DPC_NN,0.002828136140317574
DPC_QL,0.002780269040995188
DPC_CS,0.002707244944261179
DPC_HA,0.002679881995287539
DPC_AY,0.0026781865605143757
AAC_Q,0.002647579091562616
Nterm_GRAVY_25,0.0026321162520627694
DPC_GY,0.00259206551892242
Instability_Index,0.0025782496519832915
DPC_EL,0.002572114788323268
DPC_AP,0.002571018862185447
Isoelectric_Point,0.002560956058844337
DPC_TD,0.0025553295031208764
DPC_SE,0.0025285110161289343
DPC_NT,0.002514278543716569
Positive_Fraction,0.0024889405128954573
NonPolar_Fraction,0.0024507290662420765
DPC_IG,0.0024188150357196308
AAC_S,0.002360066488698826
Polar_Fraction,0.002283940974250032
DPC_TY,0.0022443916363270667
AAC_V,0.0022410030972282212
DPC_FG,0.0021723181326820757
DPC_KL,0.0021519617604047717
DPC_AR,0.002115838260209316
Negative_Fraction,0.0021141383775074274
DPC_PL,0.002064663930047381
DPC_TP,0.002053767869925868
Bulky_AA_Fraction,0.002051613660266505
DPC_IE,0.002033956651346474
DPC_GG,0.002013151471504308
Hydrophilic_Fraction,0.002001686332399366
DPC_LG,0.001996264062754893
DPC_VD,0.0019880269444324285
AAC_R,0.001981867442273376
DPC_DV,0.0019788479064544048
Mean_Disorder_Score,0.0019779740605952423
DPC_QK,0.0019712185028082797
Aromaticity,0.0019362787314774945
DPC_QV,0.0019300119441620718
DPC_EG,0.0019242642656569196
DPC_CK,0.001912711999193398
DPC_EV,0.001907892407351324
DPC_AG,0.0019075330462583872
DPC_DT,0.0019043231926189335
AAC_M,0.001895063477808404
DPC_KV,0.0018782781287140073
DPC_ME,0.0018380802443988334
DPC_DR,0.0018346162579825187
DPC_GD,0.0018219506660038902
DPC_IV,0.0018156600163107943
Hydrophobic_Fraction,0.0017995359195492472
AAC_G,0.0017818317862218606
DPC_PE,0.0017765312449515198
DPC_EN,0.001769204148255007
DPC_LV,0.001766174363431726
DPC_KK,0.0017651285982833408
AAC_Y,0.0017635642732067136
DPC_YG,0.0017614790640587367
AAC_W,0.0017493380425994255
AAC_P,0.0017422737221902708
DPC_GA,0.0017313135793184428
DPC_TG,0.0017291589822718003
DPC_KM,0.0017253395448834424
DPC_VC,0.0017192920234199572
DPC_PS,0.001715704985360064
DPC_AL,0.0017041883518318492
DPC_TR,0.001701713494040539
DPC_EP,0.0016834463133375862
DPC_LT,0.0016824799736469911
DPC_PA,0.0016766275105862805
AAC_F,0.0016748830282631135
DPC_EC,0.0016594188585318476
DPC_LS,0.0016560632093715788
GRAVY,0.0016429633761988948
DPC_VA,0.0016401862720192804
DPC_MR,0.0016365599725234623
DPC_RA,0.001621463300472641
DPC_LP,0.0016071269365823826
DPC_FL,0.0015986191635020727
DPC_SL,0.001597279703654854
DPC_VG,0.0015890622922381376
DPC_VQ,0.0015887693532093438
AAC_H,0.0015885244071412734
PseAAC_lambda26,0.001577659285569923
PseAAC_lambda23,0.001572910648622141
DPC_SS,0.0015703296801203514
DPC_AK,0.0015663304086667867
DPC_IS,0.0015660289370232714
DPC_KN,0.0015608751203366967
DPC_RS,0.0015413475521396751
DPC_HL,0.0015385757086033218
DPC_NP,0.0015369598196397732
DPC_CF,0.0015360454596233296
DPC_TV,0.0015308601487079364
PseAAC_lambda20,0.0015300512706882174
DPC_PV,0.0015199324425343502
DPC_RT,0.0015169847110262844
DPC_LA,0.0015167882946981878
DPC_VN,0.0015146653501222718
DPC_QC,0.0015138343183953326
DPC_VT,0.0015134624227962647
DPC_LR,0.001497827958315773
DPC_LI,0.001484211686207848
DPC_TL,0.0014826794442134232
PseAAC_lambda1,0.0014780873176611859
DPC_VK,0.0014697938348452318
PseAAC_lambda17,0.0014668028032444973
DPC_KQ,0.0014618721164206126
DPC_RD,0.001459651949894752
PseAAC_lambda15,0.0014582057625658214
PseAAC_lambda27,0.0014551880806470826
DPC_RL,0.001455139812694651
DPC_IP,0.0014534045058394428
DPC_ES,0.0014449506968234687
DPC_RR,0.0014448548778975224
PseAAC_lambda30,0.001436870763057525
DPC_FQ,0.0014304478673600144
DPC_GI,0.001428271173817202
DPC_IQ,0.0014276342404823527
DPC_RI,0.001420507417662388
PseAAC_lambda22,0.0014187887656525826
DPC_AV,0.0014184479595618523
PseAAC_lambda2,0.0014169340077673726
DPC_KD,0.001415169277188299
DPC_GK,0.0014050552022764056
DPC_GV,0.001398771337027204
DPC_QS,0.0013935336999981493
PseAAC_lambda5,0.0013863555300059904
DPC_TF,0.0013848546541965925
DPC_SD,0.0013730750796037531
PseAAC_lambda28,0.001370738985758771
DPC_GE,0.001370526934577503
PseAAC_lambda11,0.0013678201758348409
DPC_KA,0.001367472407003466
DPC_NI,0.001366794581946805
DPC_KG,0.0013667745757428157
PseAAC_lambda13,0.001362389728317524
DPC_KS,0.0013609188117417394
DPC_LN,0.001355501408966056
DPC_RG,0.001351101232153559
DPC_ED,0.0013504082945110072
TM_Present,0.0013496966186855844
DPC_EA,0.0013476333468092393
DPC_MK,0.0013455551723052738
DPC_GQ,0.0013434866545717062
DPC_GS,0.0013434488181010523
DPC_AF,0.0013370323020133112
DPC_SR,0.001334214758099564
DPC_AE,0.0013331433018212153
PseAAC_lambda9,0.00133069283930171
DPC_VI,0.0013303765568020668
PseAAC_lambda25,0.0013273505874506564
PseAAC_lambda21,0.0013240992894378296
DPC_VP,0.00131746465587227
PseAAC_lambda6,0.0013149358136387897
DPC_SY,0.0013146328355597332
DPC_GT,0.0013127919606915547
DPC_MT,0.001312550628394649
DPC_AQ,0.001309613725392549
DPC_II,0.0013091658737740327
DPC_TE,0.0013032377704535354
DPC_EI,0.0013029188849673471
DPC_GL,0.0012974846337563952
DPC_IC,0.0012960865490144438
DPC_KR,0.0012957511590529205
DPC_NE,0.0012952598131825688
DPC_PP,0.0012860479309343333
DPC_DS,0.0012846964640418081
DPC_IL,0.001283960453190807
PseAAC_lambda29,0.001276656897265444
DPC_FN,0.0012750867905136592
PseAAC_lambda18,0.0012740530076612382
DPC_VE,0.0012649738994261997
DPC_RE,0.001264118016645634
PseAAC_lambda24,0.0012631092460314763
PseAAC_lambda12,0.0012618342156316116
PseAAC_lambda14,0.0012599821361470248
DPC_VV,0.00125865124885883
DPC_KT,0.001255736772210426
DPC_FS,0.001255021987081848
PseAAC_lambda3,0.0012514149611664483
DPC_NL,0.0012503958777110465
DPC_AM,0.0012473232233180898
DPC_DL,0.001243051387705451
DPC_DC,0.001237380156805332
DPC_SK,0.001236836036767069
DPC_DY,0.0012334959249239092
DPC_SP,0.0012334687690654582
DPC_LD,0.0012331949300614883
DPC_GM,0.001226785891085129
DPC_ER,0.0012252198295946582
DPC_QG,0.0012251112116428292
DPC_RP,0.0012237322960556491
DPC_GF,0.0012233577933322326
DPC_CC,0.001221838245553807
PseAAC_lambda10,0.001220318473674028
DPC_IT,0.001219878325962893
DPC_FV,0.0012195407345395126
DPC_VS,0.0012159521836153722
DPC_LH,0.0012118415476746408
DPC_ET,0.0012111297716278706
PseAAC_lambda16,0.0012045507916038734
DPC_PM,0.0012029188384161944
DPC_MI,0.0012020028026454475
DPC_SG,0.001201058669569051
PseAAC_lambda4,0.0012004370090187848
DPC_EY,0.001200294883027152
DPC_CR,0.0011983117067243393
DPC_LY,0.0011937813832718644
DPC_SV,0.0011906507772957958
DPC_QA,0.0011904529813876368
DPC_RK,0.0011903669884197148
DPC_CQ,0.001188191886580886
DPC_IR,0.0011839800001010284
DPC_QI,0.0011839309104589848
PseAAC_lambda19,0.0011834345864181937
PseAAC_lambda8,0.0011803444495971653
DPC_LF,0.0011770674808308389
DPC_DF,0.0011758779508118497
DPC_RV,0.0011698387484024842
DPC_FR,0.0011584307940404512
DPC_PD,0.0011582481573451633
DPC_VR,0.0011511168239283173
DPC_GR,0.0011494272665143928
DPC_PR,0.001149362427870792
DPC_DK,0.0011418530680288692
DPC_VF,0.0011389012014969104
DPC_KI,0.001137270877015435
DPC_YC,0.0011287917666950467
DPC_FP,0.0011286491562446633
DPC_LM,0.0011253554704680484
DPC_YN,0.0011229262281404642
PseAAC_lambda7,0.001121482089322574
DPC_SQ,0.0011211062682725185
DPC_IN,0.0011198730154221574
DPC_WD,0.0011164031646328683
DPC_KF,0.0011152190667540458
