,precision,recall,f1-score,support
Non-Virulent,0.9048081593006314,0.9315,0.917960088691796,2000.0
Virulent,0.8310727496917386,0.774712643678161,0.8019036287923855,870.0
accuracy,0.88397212543554,0.88397212543554,0.88397212543554,0.88397212543554
macro avg,0.8679404544961851,0.8531063218390804,0.8599318587420908,2870.0
weighted avg,0.8824563103947998,0.88397212543554,0.8827792106038215,2870.0
