Model,ROC-AUC_Val,F1-Score_Val,Accuracy_Val,ROC-AUC_Test,F1-Score_Test,Accuracy_Test
SVM,0.9627586206896552,0.8351648351648352,0.9059233449477352,0.9602385057471264,0.8380614657210402,0.9045296167247386
XGBoost,0.9587770114942528,0.8320987654320988,0.9052264808362368,0.9443126436781608,0.8019036287923855,0.88397212543554
Logistic Regression,0.9283149425287356,0.7914798206278026,0.8703832752613241,0.9250241379310346,0.789330430048993,0.8651567944250871
Random Forest,0.9320896551724138,0.7518987341772152,0.8634146341463415,0.913325287356322,0.7506142506142506,0.8585365853658536
