,precision,recall,f1-score,support
Non-Virulent,0.92138671875,0.9435,0.9323122529644269,2000.0
Virulent,0.8625304136253041,0.8149425287356322,0.8380614657210402,870.0
accuracy,0.9045296167247386,0.9045296167247386,0.9045296167247386,0.9045296167247386
macro avg,0.8919585661876521,0.8792212643678161,0.8851868593427336,2870.0
weighted avg,0.9035452604020956,0.9045296167247386,0.9037414568314142,2870.0
